Data_name,Data_name_kr,Acronym,Data_type,Data_category,Source_organization,Access_method,Portal_or_system_url,Spatial_coverage,Spatial_resolution,Temporal_coverage,Temporal_resolution,Data_volume_or_scale,Collection_method,Instruments_or_tools,Data_format,Parameters_measured,Usage_in_study,Data_availability,Notes,Source
Asian Water Development Outlook 2020,아시아 물안보 지표(ADB),AWDO,literature,other,Asian Development Bank (ADB),public_portal,ADB Publications (link),Asia-Pacific region,regional_group,2020,one-time,5 dimensions of water security,statistical_analysis,Water Security Index,PDF/Digital Report,"Water security index (household, economic, urban, environmental, disaster)",Used for background context on Asian water issues and AAWC mission setting.,open,Reference for the severity of water issues in the study region.,8
EPANET2 Hydraulic Simulation Model,EPANET2 관망해석 모형,EPANET2,model_output,hydrological,U.S. EPA,model_generated,https://www.epa.gov/water-research/epanet,서산시 및 단순 가상 관망,node/link scale,2022,hourly (extended period simulation),"16개 관로, 12개 절점 (단순예제) 등",model simulation,EPANET2 Engine,".net, .inp","유량, 압력수두, 유속, 잔류염소 농도, 탱크 수위","마이크로 수력발전 설비 도입 전후의 수량, 수압, 수질 영향을 모의하고 에너지 수지를 분석하는 핵심 도구로 사용",open,정상상태 모의(Steady state)와 확장기간 모의(EPS)를 병행하여 분석,9
Regional Greenhouse Gas Emissions Inventory,지자체별 온실가스 배출량 인벤토리,GHG Inventory,DB_system,온실가스 배출량,K-water (한국수자원공사),internal_DB,K-water AI Data Lab (내부 시스템),전국 162개 시·도·군,시·군·구 단위,2019–2020,연간,전국 162개 행정구역 데이터셋,공공 통계 가공 및 산정식 적용,"IPCC 가이드라인, 지자체 온실가스 배출량 산정지침",CSV/Excel (내부 DB용),취수장/정수장/공업용수/가압장/하수처리시설/펌프장 전력사용량 및 온실가스 배출량(t CO2eq.),물순환 수문요소별 온실가스 배출 상관분석 및 정량적 평가방안 수립의 기초 자료로 활용,internal_only,K-water 연구를 위해 전국 단위로 구축된 독자적 인벤토리임,10
Meteorological Data Open Portal,기상자료개방포털,KMA Portal,meteorological,기상 및 기후,기상청 (KMA),public_portal,https://data.kma.go.kr,"전국 (안면도, 고산, 울릉도, 독도 등)",지점 관측,1912–2020,일별/월별/연간,국가 기상 관측망 전체,자동기상관측장비 및 육안 관측,관측 센서,CSV/Excel,"평균기온, 최고기온, 최저기온, 강수량, 강수일수, 결빙일수, 이산화탄소 배경농도",우리나라 기후변화 추세 분석 및 습지 부문 온실가스 배출량 산정을 위한 결빙일수 확보에 사용,open,국가 공식 기상 데이터 소스,10
Forest Spatial Information Service,산림공간정보서비스,FGIS,geospatial,산림 및 토지이용,산림청,public_portal,http://fgis.forest.go.kr,전국 산림지,"1:5,000 축척 (임상도)",2015–2021,5년 주기/연간 통계,전국 수종별 면적 데이터,항공사진 및 현장 조사,GIS 소프트웨어,Shapefile (SHP),"임상도, 수종별 면적, 영급, 수고, 밀도, 임목축적",도시 녹지의 온실가스 흡수량 산정을 위한 수종별 면적 산출에 활용,open,서울시 비오톱 유형별 탄소 흡수원 분석에 사용됨,10
National Greenhouse Gas Inventory Report,국가 온실가스 인벤토리 보고서,GIR Report,literature,온실가스 통계,온실가스종합정보센터 (GIR),public_portal,http://www.gir.go.kr,국가 전체,국가 단위,1990–2019,연간,국가 공식 배출량 통계,부문별 활동자료 수집 및 산정,IPCC 가이드라인,PDF/Excel,"에너지, 산업공정, 농업, LULUCF, 폐기물 부문별 총 배출량 및 흡수량",국가 온실가스 배출 현황 조사 및 물순환 분야 배출량 비교 분석의 기준 자료로 활용,open,매년 발행되는 국가 공식 통계 자료,10
K-water Real-time Hydrometeorological Data (COSFIM/DAON DB),K-water 실시간 수문기상 데이터 (COSFIM/DAON DB),"COSFIM, DAON",DB_system,hydrological,K-water (한국수자원공사),internal_DB,COSFIM (K-water 홍수분석모형 시스템),"금강유역 (용담댐, 대청댐 유역)",point measurement (관측소 단위),2001–2023,"hourly, daily","강우관측소 264개, 수위관측소 133개, 유량관측소 132개",automatic sensor,"COSFIM BLC(블럭) 파일, DAON DB SQL Query","CSV, SQL","강수량, 수위, 유입량, 방류량(발전방류, 여수로방류, 하천유지유량 등)","AI 댐 홍수분석 모델(LSTM, GRU 등) 학습 및 검증용 기상/수문 입력 데이터로 활용",internal_only,무주양수댐 등 일부 시설의 경우 데이터 보유 기간이 9~11년으로 제한적임,11
KMA Meteorological Data,기상청 기상관측 데이터,KMA data,meteorological,rainfall,Korea Meteorological Administration (기상청),public_portal,기상청 (KMA),"금강유역 (장수, 진안 등)",point measurement,2010–2024,"daily, hourly","진안, 장수 등 다수 기상관측소",automatic sensor,ASOS/AWS,digital,"강수량, 온도, 상대습도, 기압, 풍속",용담댐 상류 강수량 전처리 및 AI 모델 학습 데이터셋 구성에 활용,open,K-water 데이터와 병행하여 유역 평균 강수량 산정에 활용됨,11
National Water Resources Management Information System (WAMIS),국가수자원관리종합정보시스템 (WAMIS),WAMIS,DB_system,hydrological,Ministry of Environment (환경부),public_portal,www.wamis.go.kr,national (대한민국 전역),administrative unit / watershed,2016 (referenced),annual,전국 행정구역 및 수자원권역별 데이터,other,Web Portal,digital,"농업용수 이용량, 수계별 용수 사용 현황",전국 농업용수 사용률 및 지역별 용수 사용 비율 기초 통계 분석용,open,WAMIS 농업용수 이용량은 실제 계측치가 아닌 수요량 산정법에 따른 결과값임,12
Smart Village Innovation Service Sensor Data,스마트빌리지 혁신서비스 디바이스 센싱데이터,STA (SensorThings API),field_measurement,multidisciplinary,K-water (한국수자원공사),internal_DB,스마트빌리지 AI·IoT 데이터센터,Busan Eco Delta City Smart Village (부산 에코델타시티 스마트빌리지),Point measurement (지점 측정),2022–2024,"Real-time, periodic (e.g., 4s, 1min, 5min, 1hr), event-based",Approximately 625 data items across 28 services,automatic sensor,"IoT Sensors, OGC SensorThings API, RESTful API",JSON,"Temperature, humidity, PM10, PM2.5, VOC, noise, illuminance, water flow, water quality (pH, turbidity, etc.), energy consumption, GPS coordinates, robot status","Used to establish a digital twin testbed, analyze data requirements, and validate open data linkage and security frameworks.",internal_only,Includes sensitive and personal information; access is controlled via token-based authentication and encryption.,13
Water-Friendly Information Platform Data,친수정보플랫폼 데이터,WFIS,hydrological,water_quality,"K-water, KMA (기상청), AirKorea (에어코리아)",public_portal,http://61.75.178.52:50081/API (waterinfo_publicinfohall),Busan Smart Village and surrounding rivers,Point measurement,2022–2024,"1-hour, periodic","Multiple stations (River level, water quality)",automatic sensor,"Water quality sensors, weather sensors",JSON,"pH, TOC, COD, turbidity, conductivity, DO, rainfall, temperature, PM10",Provided life activity indices based on water quality and weather data to residents via signage.,open,Classified as public data available for external inquiry via API.,13
Smart Pole Environmental Sensor Data,스마트폴 환경센서 데이터,Effel_SmartPole,meteorological,air_quality,K-water,internal_DB,http://61.75.178.52:50081/API (smartpole1),Busan Smart Village (Inner/Outer locations),Point measurement,2022–2024,"6-min, 1-hour","Types O, WF, W",automatic sensor,"Complex environmental sensors, CCTV",JSON,"Temperature, humidity, PM10, PM2.5, VOC, noise, illuminance, floating population count",Used for monitoring urban environment and traffic volume in the digital twin platform.,open,Provides environmental and convenience information to residents.,13
K-water Risk Management System,전사적 리스크관리 시스템,KRM,DB_system,어류폐사 사고 이력 및 위기관리,한국수자원공사,internal_DB,krm.kwater.or.kr,"한국수자원공사 관리 유역(댐, 보 등)",사업장(댐/보) 단위,1999–2023,이벤트 기반(사고 발생 시),총 93건 (어류폐사 사고 이력 기준),내부 보고 및 사고 접수,내부 업무망/외부망 접속 시스템,디지털 DB,"사고 일시, 위치, 어류폐사 원인, 어종, 규모, 기상상태, 피해내용","과거 어류폐사 사례 분석 및 발생 특성(원인별, 시기별, 수계별) 파악의 핵심 자료로 활용",internal_only,한국수자원공사 내부 전용 리스크 관리 시스템으로 외부 접근 제한됨,14
Dam Real-time Smart Monitoring Data,댐 실시간 스마트 모니터링 데이터,AK920K,DB_system,displacement,K-water,internal_DB,시설관리시스템 수자원안전정보,"전국 댐 및 부속시설물 (다목적댐, 용수전용댐, 조정지댐, 부댐)","967개 GPS변위계, 180개 경사계",2021.09-2022.11 (구축 완료 후 현재),"10-min (현장서버), hourly (본사 DB)","GPS변위계 967개, 경사계 180개",automatic sensor,"GPS변위계(AK920K), 경사계(RST사 IC6654)","CSV, Text","X, Y, Z, V(벡터합), 경사각(degree), 수평변위(mm)","스마트 모니터링 시스템의 초기 계측 데이터 신뢰성 분석, 신·구 계측데이터 관리체계 구축 및 운영방안 제시",internal_only,"RTK 방식을 활용하여 10분 단위로 데이터를 처리하며, 기존 자동광파기(TS) 데이터와의 연계성을 분석함",15
Unmanned Constant Monitoring System for Regulating and Sub-dams Data,조정지댐 및 부댐 무인 상시 계측시스템 데이터,AK35X,DB_system,displacement,K-water,internal_DB,시설관리시스템 수자원안전정보,6개 조정지댐 및 6개 부댐,"GPS변위계 59개, 경사계 14개",2020.06-2021.06 (구축),hourly (Static-PPK 방식),"GPS변위계 59개, 경사계 14개",automatic sensor,GPS변위계(AK35X),"RINEX, Text","위경도 값, 변위 값(X, Y, Z, V)",구 계측 데이터 관리체계 분석 및 신규 스마트 모니터링 데이터와의 비교 분석,internal_only,Static-PPK 방식으로 1시간 단위 후처리를 통해 정밀도(수평 3mm)를 확보함,15
NGII Satellite Reference Point Data,국토지리정보원 위성기준점 데이터,GNSS_DATA,remote_sensing,geospatial,National Geographic Information Institute (국토지리정보원),public_portal,http://www.gnssdata.or.kr,국내 전역 (77개 위성기준점),77개소 기준국,2005-현재,"daily, hourly, real-time (RTK)","국토지리정보원 77개, 해양측위정보원 12개 등",satellite,GNSS 상시관측소,"RINEX, RTCM","위성 수신 데이터, 보정 데이터(RTCM)",GPS 측위 원리 설명 및 네트워크 RTK 서비스 활용 사례 분석,open,8개 기관이 참여하는 GNSS 데이터 통합센터를 통해 통합 서비스 제공,15
CMIP6 Global Climate Models,CMIP6 전지구기후모델 시나리오 자료,CMIP6,model_output,meteorological,WCRP (ESGF),public_portal,https://esgf-node.llnl.gov/projects/cmip6/,Global,100km to 500km grid,Historical to 2100,Daily,23 GCMs,model simulation,"ACCESS-CM2, CanESM5, MRI-ESM2-0, etc.",NetCDF,"Precipitation (pr), Temperature (tas)",Used to project future climate change impacts on flood defense criteria based on AR6 SSP scenarios.,open,Standardized climate model datasets for IPCC AR6.,16
Smart Water Metering Data,스마트미터 데이터,SWM,field_measurement,water_use,K-water and 11 Local Governments,internal_DB,Smart Water Metering Management System (스마트미터링 운영시스템),"11 Local Municipalities (G-si, N-si, D-si, etc.)",household point,2023.01–2023.12,hourly,"330 DMAs, approx. 15,000 meters",automatic sensor,"Smart Water Meter, AMI infrastructure",CSV,hourly water consumption (m3/hr),Core data used for developing night flow prediction models and analyzing water usage patterns.,internal_only,Collected from 11 municipalities including Busan EDC; requires data cleaning for missing or erroneous values.,17
National Groundwater Information System,국가지하수정보시스템,GIMS,DB_system,hydrological,K-water (National Groundwater Information Center),public_portal,https://www.gims.go.kr,National (South Korea),"Point measurement (5,855 stations)",1995–Present,Hourly (automated),"5,855 monitoring wells",Automatic sensors and manual reporting,"Automatic water level sensors, telemetry","Web GIS, CSV","Water level, Temperature, Electrical Conductivity (EC), 20 water quality items",Cited as a successful case model for building groundwater monitoring systems in Argentina.,open,Managed by the National Groundwater Information Center (NGIC).,18
High-purity industrial water pilot plant operational data,고순도 공업용수 파일럿 플랜트 운영 데이터,UPW Pilot Data,field_measurement,water_quality,K-water연구원,internal_DB,i-water,K-water연구원 내 25m3/일 파일럿 플랜트,point measurement,2021.06–2021.08,15-min,"22,177 records (PCV 0.2 MPa period)",automatic sensor,"PLC, i-water program, MATLAB",Excel (CSV derivative),"Resistivity, TOC, DO, Flow rate, Pressure, Valve opening (PCV), Boron, Silica",가상센서 기반 운영 안정화 알고리즘 구축 및 이온교환수지(MB) 파과점 예측 모델 개발을 위한 기초 데이터로 활용,internal_only,i-water 시스템을 통해 자동 저장되며 수동 입력 데이터(운영일지)와 병행 관리됨,19
High-purity industrial water demonstration plant IO List,고순도 공업용수 실증플랜트 입출력 리스트,UPW Demo IO List,DB_system,hydrological,K-water,internal_DB,HMI System,SK실트론 구미 2공장 실증플랜트,point measurement,2021–2025,real-time,"25 points requested, 9 points final reflected",automatic sensor,HMI (Human Machine Interface),Digital tag list,"Boron, Silica, TOC, DO, Nitrogen flow, Tank level",실증플랜트의 실시간 모니터링 및 국산화 HMI 통합 운영 프로그램 구축에 사용,internal_only,기존 외산 시스템을 국산화하고 이상 발생 알람 기능을 고도화함,19
Vietnam ODA and Infrastructure Investment Statistics,베트남 공적개발원조 및 인프라 투자 통계,Vietnam ODA Data,administrative,other,Vietnam Ministry of Planning and Investment (MPI),public_portal,"Vietnam General Statistics Office, World Bank Data",Vietnam (National),national/provincial scale,2004–2017,annual,Total ODA commitment $80 billion,questionnaire/reporting,GSO (General Statistics Office) reports,Statistical reports,"ODA commitment, disbursement, sector-wise investment (Water, Energy, Transport)",아시아 개발도상국(베트남) 물시장 진출을 위한 자금조달 환경 분석 및 사업모델 제안의 근거로 사용,open,기획투자부(MPI) 및 통계청(GSO) 자료를 인용함,20
ASTM Ultrapure Water Quality Standards,ASTM 초순수 수질 기준,ASTM D5127,literature,water_quality,ASTM International,literature_cited,ASTM D5127-13,International standard,,2013 edition,one-time,Types E-1 to E-4,standardization,,Technical standard document,"Resistivity, TOC, DO, Particles, Bacteria, Silica, Metals",실증플랜트의 목표 수질 설정 및 성능 검증 기준(E-1.3 등급)으로 활용,open,반도체 및 전자 산업용 고순도 공업용수의 국제 표준 가이드라인,19
water-NET / Twater-NET,관망운영시스템 / 디지털 테스트베드 플랫폼,Twater-NET,DB_system,hydrological,K-water,internal_DB,webwaternet.kwater.or.kr,"한강, 낙동강, 금강, 영산강 등 전국 유역",지점 및 구역 단위,2023–2025,"1분, 10분, 1시간, 1일",전국 유역별 테스트베드,automatic sensor / model simulation,"Python-WNTR, EPANET","Excel, JSON","유량, 압력, 수위, 펌프 가동 상태, 수리해석 결과","실시간 운영 데이터 수집·연계, 수리해석 라이브러리 구현, GIS 기반 시각화 및 디지털 트윈 검증",internal_only,파이썬 기반 개방형 디지털 테스트베드로 고도화됨,21
Korea Land surface Information System,국토 수재해 정보시스템,K-LIS,DB_system,hydrological,K-water,internal_DB,수재해 정보 포털,한반도 및 아시아 지역 (알제리 포함),0.01° (약 1km) grid,1980–2016 (KLDAS 기준),"15분, 1시간, 일 단위",43종 이상의 수문 분석 정보,model simulation / remote sensing,"KLDAS, ALDAS, Noah-MP LSM","NetCDF (.nc), GeoTIFF","토양수분, 증발산량, 유량, 수위, 강수량, 지면온도","위성 및 지상 관측 기반 광역 수재해 감시, 평가 및 예측 정보 생산과 대국민 포털 서비스 제공",open,NASA LIS 기반으로 구축되었으며 기상청 및 유관기관 데이터 연계,22
Observation Data Model 2.0,국제 표준 관측자료 모델,ODM2.0,DB_system,meteorological,K-water (기상청 자료 연계),public_portal,"Data.go.kr, KMA ASOS",대한민국 전역,지점 계측 (101개 ASOS 스테이션),1982–2016,"분 단위, 시간 단위",대용량 기상 관측 시계열 데이터,automatic sensor,"ASOS, GTS","SQLite, TSV, XML","강수량, 기온, 습도, 풍속, 기압, 일사량",지상 기상 관측 정보의 표준화된 전처리 및 K-LIS 모델 구동용 강제력(Forcing) 데이터로 활용,open,GS 인증 1등급을 획득한 서비스 전처리 시스템으로 관리됨,22
Satellite Imagery Products,위성 관측 데이터,"MODIS, GPM",remote_sensing,satellite imagery,"NASA, ESA, NOAA",public_portal,NASA GLDAS/FLDAS Portal,글로벌 / 동아시아,0.1° ~ 0.25° grid,1979–현재,"일 단위, 월 단위","MODIS, GPM, Sentinel-1, AMSR-E 등",satellite,"MODIS, GPM, SMMR, SSM/I, ASCAT","NetCDF, HDF","강우량(Rainfall), 토양수분, 식생지수, 알베도",KLDAS/ALDAS 모델 보정(Calibration) 및 검증(Validation)을 위한 벤치마크 데이터셋으로 활용,open,"ESA CCI, GLDAS, FLDAS 등 글로벌 산출물 포함",22
Water Resources Management Information System,물정보포털,MyWater,DB_system,hydrological,K-water (한국수자원공사),public_portal,https://www.water.or.kr,National (전국),표준유역 단위,Past to present (과거~현재),"Daily, Monthly","전국 댐, 하천, 저수지 수문 데이터",Automatic sensors and DB integration,Not in source,"CSV, Excel, GIS","강수량, 유입량, 방류량, 저수량, 수위","지역수자원관리체계 구축, 댐 유지관리비 분석, 가뭄 예경보 분석 등 다수 연구의 기초 수문자료로 활용",open,K-water에서 운영하는 대한민국 대표 물정보 포털,23
Busan EDC Smart Village Innovation Service Data,부산 EDC 스마트빌리지 혁신서비스 데이터,Not in source,field_measurement,other,K-water (한국수자원공사),internal_DB,Smart Village Data Platform,부산 EDC 스마트빌리지 실증단지,개별 가구 및 센서 단위,2022 - 2024,"Real-time, Weekly",41개 혁신기술 서비스 데이터,"IoT Sensors, Smart Meters","RESTful API, Digital Twin Testbed",JSON (API 기반),"에너지 사용량, 물 사용량, 스마트 쓰레기통 상태, 수질 데이터 등","디지털 트윈 테스트베드 구축, 탄소중립도시 모델 개발, 메타버스 시범 적용 연구에 활용",restricted,개인정보 포함 데이터는 접근 통제 및 보안 적용,23
Satellite-based Soil Moisture and Evapotranspiration Data,위성기반 토양수분 및 증발산량 데이터,Not in source,remote_sensing,meteorological,"ESA, NASA, K-water (자체 가공)",other,Google Earth Engine (GEE),National/Dam Watersheds (전국 댐 유역),10m ~ 1km Grid,2005 - 2025,Daily (일단위),"Sentinel, MODIS 위성 데이터 세트",Satellite observation (Optical/SAR),"Sentinel-1/2, MODIS, GEE",Raster/Grid Data,"토양수분량, 증발산량, NDWI, NDVI, 수표면적","댐 유역 수문량 산정 고도화, 가뭄 모니터링, 미계측 저수지 유입량 및 저수량 예측",open,클라우드 기반 플랫폼을 활용하여 위성 빅데이터 분석 수행,23
K-water Waterworks Site Energy Consumption and Operation Data,수도사업장 에너지 사용형태 및 운영데이터,Not in source,field_measurement,energy_consumption,K-water (한국수자원공사),internal_DB,K-water 내부 시스템,"충주취수장, 임하가압장, 낙양가압장, 아산취수장, 대청취수장, 화성정수장, 성남정수장 등",사업장별 포인트 측정,2013–2022,"1시간 단위, 일별, 월별","취·가압장 5개소 및 정수장 2개소 정밀 분석, 43개 정수장 유형 분류",automatic sensor (SCADA/EMS),"EMS (Energy Management System), G-PAMS (지팜)",Digital (Excel/DB),"에너지소비량, 전력소비량, 순시 전력소비량, 공정별 전력소비량, 유출유량, 운영양정","수도사업장 에너지 소비 특성 분석, 에너지 등급 평가 Tool(EnPI, DEA) 수립 및 시범 적용을 위한 기초 자료로 활용",internal_only,펌프 모터의 전력 소비가 전체의 97% 이상을 차지함을 규명함,1
DEA (Data Envelopment Analysis) Data,자료포락분석 데이터,DEA,model_output,operational_efficiency,Not in source,model_generated,Frontier Analyst 4 (FA4),"충주, 임하, 과천, 아산 펌프장 등",사업장 간 상대적 비교,2014–2021,연간,72개 DMU (의사결정단위) 분석,model simulation,Frontier Analyst 4 Application,Digital,"기술 효율성, 배분 효율성, 준거집단 가중치, 운영손실, 운영양정, 전력원단위",유사 속성 사업장 간의 상대적 효율성을 측정하고 벤치마킹 대상을 식별하기 위해 사용,restricted,펌프장 평가에서는 변별력 문제로 지표에서 제외되었으나 벤치마킹 지원 도구로 제안됨,1
Band Index (BI) Methodology Data,평균값 밴드 인덱스 데이터,BI,statistical_analysis,energy_efficiency,K-water (연구 도출),model_generated,Not in source,"수지, 청주, 학야 정수장 (자연유하식)",사업장 단위,2013–2022,연간,10개년 데이터 활용,statistical calculation,Excel,Digital,"전 3개년 평균 에너지 사용량(기준량), 실제 사용량, 절감률",전력사용량과 변수 간 상관성이 낮은 자연유하식 정수장의 성과 평가를 위해 EnPI를 대체하여 사용,internal_only,관리도 기법을 응용하여 전 3개년 평균값을 기준사용량으로 채택함,1
2018 Waterworks Statistics,2018년 상수도 통계,WIIS (관련 시스템),administrative,hydrological,Ministry of Environment (환경부),public_portal,National Waterworks Information System (국가상수도정보시스템),National (South Korea),Municipal level (161 local governments),2018,annual,6.66 billion m3/year total production,automatic sensor and manual reporting,Not in source,database,"Water production, supply rate, pipe length, revenue water rate, production cost, water tariff, number of employees","Used for status analysis of local and regional waterworks, production cost analysis, and regional service gap evaluation.",open,Primary statistical source for national water service evaluation.,24
Water Resources Management Information System,물정보포털 (WAMIS),WAMIS,DB_system,hydrological,환경부/K-water,public_portal,http://www.wamis.go.kr,National (South Korea),Point measurement (Stations),Past records to 2020,Daily/Monthly,수위-저수용량 곡선식 등,automatic sensor,Not in source,CSV/Web,"수위, 저수량, 유입량, 강우량",댐별 수위-저수용량 곡선식 구축 및 모형 검보정 자료,open,"소양호, 충주호 등 주요 댐의 수문 데이터 수집원",25
Electronic Detailed Soil Map,전자 정밀토양도,Soil Map,geospatial,soil moisture,국립농업과학원 (inferred),public_portal,Not in source,댐 유역 전역,Detailed scale,Static,One-time,GIS DB,field_collection,GIS,GIS Shapefile,"토양통, 수문학적 토양 그룹, 토양 특성","유역 모형(HSPF)의 매개변수(INFILT, LZSN 등) 산정 및 토사유실량 분석",open,수문학적 토양 그룹 정보 추출에 활용,25
