data_name,data_name_kr,acronym,dtype,category,org,access,spatial,temporal,temporal_res,volume,instruments,params,fmt,usage,availability,notes,freq,reuse,priority,report_list
Sentinel-2 Satellite Imagery,Sentinel-2 위성영상,Sentinel-2,remote_sensing,"GIS, land cover, water quality",ESA (European Space Agency),public_portal,"낙동강 수계, 대청댐 등",2018–2020,5 days,Not in source,MSI (Multi-Spectral Instrument),Spectral reflectance (밴드별 반사도),"Level-1C, Level-2A (SAFE)","AI 기반 수질 인자(Chl-a, SS) 예측, 하천 수변환경 분류 및 나지 면적 변화 탐지",open,Fmask 4.0 및 Sen2Cor를 이용한 전처리 및 구름 마스킹 수행,2,Medium,Planned,공간정보 빅데이터를 활용한 가뭄 예·경보 분석기술 개발(2024년)_2025.02.10_공간정보 빅데이터를 활용한 가뭄 예·경보 분석기술 개발(2024년).pdf.pdf | 수자원분야 위성영상 활용 기술개발_2021.02.08_수자원분야 위성영상 활용기술.pdf.pdf
Sentinel-1 SAR Data,Sentinel-1 SAR 데이터,Sentinel-1,remote_sensing,water level,ESA (European Space Agency),public_portal,"대청댐, 북한댐 지역",2019–2020,6-12 days,Not in source,C-band SAR,Backscatter coefficient (후방산란계수),GRD,미계측 지역(북한댐) 수위 추정 알고리즘 개발 및 수체 경계 추출,open,전천후 관측이 가능하나 전처리 과정이 광학 위성에 비해 복잡함,2,Medium,Planned,공간정보 빅데이터를 활용한 가뭄 예·경보 분석기술 개발(2024년)_2025.02.10_공간정보 빅데이터를 활용한 가뭄 예·경보 분석기술 개발(2024년).pdf.pdf | 수자원분야 위성영상 활용 기술개발_2021.02.08_수자원분야 위성영상 활용기술.pdf.pdf
K-water Watershed Model (HSPF),K-water 보유 유역모형 (HSPF),HSPF,model_output,hydrological,K-water,internal_DB,"소양강, 임하, 충주, 안동, 용담, 대청, 합천, 영주댐 유역",2020년 및 미래 기후변화 시나리오 기간,Daily or Hourly (inferred),8개 댐 유역 대상,HSPF (Hydrological Simulation Program - Fortran),"유량, 부유물질 (SS), 토사유실량",Not in source,"댐 유역의 유출량 및 탁수 발생 모의, 기존 탁수 저감대책의 유역별 효과 평가",internal_only,K-water 보유 모형 기반 입력자료 구축,2,Medium,Planned,대청댐 상류 오염원 저감 및 물환경 개선방안 연구_2021.02.05_대청댐 상류 오염원 저감.pdf.pdf | 댐 탁수 저감대책의 효과평가 및 기후변화를 고려한 저감기법 개발_2023.02.13_댐 탁수 저감대책 효과평가 및 기후변화를 고려한 저감기법 개발.pdf.pdf
Digital Elevation Model,수치고도모델,DEM,geospatial,GIS,국토지리정보원,public_portal,영천·대곡·사연댐 유역,2015,one-time,"1:5,000",Not in source,"고도, 지형학적 특성인자",GIS shapefile,"유역 경계 추출, 소유역 분할 및 수질 모델(HSPF, AEM3D)의 지형 격자망 구축에 활용",open,BASINS Auto-delineation 기능 활용,2,Medium,Planned,댐 유역(영천·대곡·사연댐) 물환경관리 종합대책 수립 연구_2022.02.14_댐유역 물환경관리.pdf.pdf | 물공급 예비율 활용을 위한 수질영향 분석 연구_2020.02.27_물공급예비율활용.pdf.pdf
Resident Registration Population Statistics,주민등록 인구통계,N/A,administrative,demographic,행정안전부 (Ministry of the Interior and Safety),public_portal,national,Not in source,monthly/annual,national_scale,Not in source,"내국인 인구수, 세대수","CSV, Excel",상수도 보급률 및 급수인구 산출을 위한 기초 인구 데이터로 활용,open,상수도통계의 총인구 항목과 일치 여부 검증에 사용,2,Medium,Planned,국가 물수급 분석 고도화를 위한 생공용수 수요패턴 및 하천 물순환 분석기술_2024.02.13_국가 물수급 분석 고도화를 위한 생공용수 수요패턴 및 하천 물순환 분석기술.pdf.pdf | 상수도통계 개선 및 활용성 강화방안 연구_2023.02.13_상수도통계 개선 및 활용성 강화방안 연구.pdf.pdf
National Pollution Source Survey,전국오염원조사자료,N/A,administrative,pollution source,국립환경과학원,public_portal,"보은군 보은읍, 내북면 (중초천 소유역별)",2018 (published in 2019),annual,Not in source,오염총량관리기술지침,"인구, 가축 사육두수, 산업시설, 폐수 발생량, 토지이용현황 등",Not in source,"생활계, 축산계, 토지계 오염원 현황 파악 및 발생/배출 오염부하량 산정",open,2019년에 발표된 2018년 기준 자료를 활용함,2,Medium,Planned,대청댐 상류 오염원 저감 및 물환경 개선방안 연구_2021.02.05_대청댐 상류 오염원 저감.pdf.pdf | 댐 유역(영천·대곡·사연댐) 물환경관리 종합대책 수립 연구_2022.02.14_댐유역 물환경관리.pdf.pdf
K-water Dam Operation Data,K-water 댐 운영 자료,N/A,hydrological,streamflow,K-water,internal_DB,"Chungju, Yongdam, Hapcheon, Seomjingang Dams",1975–2018,daily,Not in source,Dam monitoring systems,"Inflow, Water level, Release (Spillway/Generation), Storage",Not in source,댐 취약성 평가를 위한 IHACRES 및 SWAT 수문 모형의 검증 및 보정에 활용,internal_only,국가수자원관리종합정보시스템을 통해 일부 공개되나 연구용 세부 데이터는 내부망 참조,2,Medium,Planned,기후 스트레스 테스트 기반 댐 취약성 평가 연구_2023.02.13_기후 스트레스 테스트 기반 댐 취약성 평가 연구.pdf.pdf | 수질을 고려한 대청댐 운영 고도화 방안 시범 연구_2022.02.14_대청댐 운영고도화.pdf.pdf
EnPI Tool (Energy Performance Indicator Tool),에너지성과지표 분석 도구,EnPI,model_output,energy_efficiency,한국에너지공단 (KEA) / 미국 에너지부 (DOE),other,전국 수도사업장,2018–2022 (시범평가 기준),연간 개선율 (연속 12개월 이상 데이터),회귀분석 모델 15개 시나리오 검토,EnPI Tool v5.0 (Excel 기반),"예상 에너지 사용량 대비 실제 에너지 사용량, 에너지 절감률, 결정계수(R2)",Excel,사업장의 과거 성과 대비 현재 성과(자기평가)를 정량적으로 지표화하고 등급을 산출하는 핵심 툴로 사용,open,"ISO 50001 계량평가 방식 기반, 펌프장 및 펌프식 정수장에 적용",1,Low,Optional,수도사업장 에너지 효율 혁신을 위한 진단 프로세스 고도화 방안 연구_2024.02.13_수도사업장 에너지 효율 혁신을 위한 진단 프로세스 고도화 방안 연구.pdf.pdf
LMDI Factor Decomposition Analysis Data,LMDI 요인분해분석 데이터,LMDI,statistical_analysis,energy_drivers,K-water (화성정수장 시범),model_generated,화성정수장,2018–2022 (가상 데이터 포함),연간,8개 공정별 분해 분석,Log Mean Divisia Index (LMDI) Ⅰ,"생산효과(활동수준), 구조효과(활동구조), 원단위효과(에너지집약도), 소비량 증감",Excel,"에너지 사용량 변화 원인을 생산활동, 공정 비중, 효율 개선 요인으로 분해하여 실질적 효율 변화를 파악하기 위해 사용",restricted,공정별 유량 및 전력사용량 데이터가 필수적이며 EMS 구축 사업장에 적합함,1,Low,Optional,수도사업장 에너지 효율 혁신을 위한 진단 프로세스 고도화 방안 연구_2024.02.13_수도사업장 에너지 효율 혁신을 위한 진단 프로세스 고도화 방안 연구.pdf.pdf
Ministry of Environment Water Level Data,환경부 수위 관측 자료,WAMIS (inferred),hydrological,water level,환경부 (홍수통제소),public_portal,"전국 주요 하천 (일중리, 곡교, 예성교 등)",2010–2023,10-min,수십 개 하천 수위 관측소,TM (Tele-Monitoring) 수위계,하천 수위 (EL.m),digital,댐 방류에 따른 하류 지점별 수위 변동 및 도달시간 검증용 자료,open,K-water 자료와 교차 검증하여 신뢰성 확보,1,Low,Optional,다목적댐 방류량별 하류하천 도달시간 산정에 관한 연구_2025.02.11_다목적댐 방류량별 하류하천 도달시간 산정에 관한 연구.pdf.pdf
Dam Outflow History Data,댐 수문방류 이력 자료,Dam Outflow,hydrological,streamflow,K-water (한국수자원공사),internal_DB,"다목적댐 (소양강, 충주, 안동, 임하 등)",2007–2023,10-min,주요 댐별 수십 개 방류 사상,Water level sensor / Gate opening sensor,"수문 방류량 (㎥/s), 총 방류량",CSV/Excel (inferred),방류량별 도달시간 상관계수 도출 및 AI 학습모형의 입력 변수로 사용,internal_only,수문방류 시 하류 수위계 수위 증가 경향이 뚜렷한 사상을 선별하여 분석,1,Low,Optional,다목적댐 방류량별 하류하천 도달시간 산정에 관한 연구_2025.02.11_다목적댐 방류량별 하류하천 도달시간 산정에 관한 연구.pdf.pdf
Water Environment Information System,물환경정보시스템,NEIS,DB_system,water_quality,환경부 (국립환경과학원),public_portal,"영산강, 섬진강 대권역",2010~2020,"8-day interval (standard), Real-time (automatic)","수질측정망 1,936개소, 총량측정망 337개소 등","다항목수질측정기, 자동분석기","BOD, COD, TOC, T-N, T-P, SS, Chl-a, pH, DO, 수온",Digital database,유역별 수질 현황 분석 및 상수원 목표 수질 달성 여부 검토,open,영산강 본류 수질 악화 구간(광주1~광주2) 분석 등에 사용,1,Low,Optional,"영산강, 섬진강, 제주권 자연성 회복 구상(안) 마련을 위한 연구용역_2022.02.14_자연성회복.pdf.pdf"
Jar-test Analysis Data,응집 실험(Jar-test) 분석 데이터,N/A,lab_analysis,water_quality,K-water연구원,field_collection,"대청취수장(청주권), 팔당취수장(수도권) 원수",2019,Event-based,"수온 구간별(저온, 상온, 고온) 다수 샘플","Jar tester (Phipps&Bird 7790-910), Turbidity meter, pH meter","수온(6.2~37.5℃), 탁도(NTU), 응집제 주입률(ppm)",CSV/Graph,원수 수온 변화(수열에너지 활용 후 유입 가정)에 따른 응집 효율 및 탁도 제거율 평가,internal_only,고수온(31~37℃) 환경에서도 응집 효율이 유지됨을 실증,1,Low,Optional,수열에너지 활용에 따른 수처리 효율 및 도송수에 미치는 영향 평가_2020.02.27_수열에너지활용.pdf.pdf
Hydroelectric generator vibration online monitoring system,수차발전기 진동 온라인 모니터링 시스템,CMS/System1,DB_system,Vibration data,K-water (Energy Diagnosis Center),internal_DB,"Soyang River, Chungju, Hapcheon, Daecheong, Imha, Yongdam, Juam Dam",2022-2023,Continuous monitoring,7 hydroelectric power plants,"VIBRO-METER VM600, Bently Nevada 3500","Relative shaft vibration (Sp-p), Bearing housing vibration (Vrms), Cavitation (g's rms), Gap voltage",Digital database,Used to establish vibration management criteria and analyze high vibration sections for AGC operation range adjustment.,internal_only,Internal K-water diagnostic data used for facility integrity assessment.,1,Low,Optional,K-water 대수력 프란시스 수차 진동발생 메커니즘 분석 및 개선 연구_2024.02.13_K-water 대수력 프란시스 수차 진동발생 메커니즘 분석 및 개선연구.pdf.pdf
Asian Water Development Outlook 2020,아시아 물안보 지표(ADB),AWDO,literature,other,Asian Development Bank (ADB),public_portal,Asia-Pacific region,2020,one-time,5 dimensions of water security,Water Security Index,"Water security index (household, economic, urban, environmental, disaster)",PDF/Digital Report,Used for background context on Asian water issues and AAWC mission setting.,open,Reference for the severity of water issues in the study region.,1,Low,Optional,"실질적 아시아 물 문제 해결을 위하나 입법,정책적 접근방안 연구_2021.02.05_실질적 아시아 물문제 해결.pdf.pdf"
EPANET2 Hydraulic Simulation Model,EPANET2 관망해석 모형,EPANET2,model_output,hydrological,U.S. EPA,model_generated,서산시 및 단순 가상 관망,2022,hourly (extended period simulation),"16개 관로, 12개 절점 (단순예제) 등",EPANET2 Engine,"유량, 압력수두, 유속, 잔류염소 농도, 탱크 수위",".net, .inp","마이크로 수력발전 설비 도입 전후의 수량, 수압, 수질 영향을 모의하고 에너지 수지를 분석하는 핵심 도구로 사용",open,정상상태 모의(Steady state)와 확장기간 모의(EPS)를 병행하여 분석,1,Low,Optional,상수관망 에너지 최적 활용 및 분석 기술_2023.02.13_상수관망 에너지 최적 활용 및 분석 기술.pdf.pdf
Regional Greenhouse Gas Emissions Inventory,지자체별 온실가스 배출량 인벤토리,GHG Inventory,DB_system,온실가스 배출량,K-water (한국수자원공사),internal_DB,전국 162개 시·도·군,2019–2020,연간,전국 162개 행정구역 데이터셋,"IPCC 가이드라인, 지자체 온실가스 배출량 산정지침",취수장/정수장/공업용수/가압장/하수처리시설/펌프장 전력사용량 및 온실가스 배출량(t CO2eq.),CSV/Excel (내부 DB용),물순환 수문요소별 온실가스 배출 상관분석 및 정량적 평가방안 수립의 기초 자료로 활용,internal_only,K-water 연구를 위해 전국 단위로 구축된 독자적 인벤토리임,1,Low,Optional,도시물순환 수문요소 탄소저감 평가 기술 개발_2024.02.13_도시물순환 수문요소 탄소저감 평가 기술 개발.pdf.pdf
Meteorological Data Open Portal,기상자료개방포털,KMA Portal,meteorological,기상 및 기후,기상청 (KMA),public_portal,"전국 (안면도, 고산, 울릉도, 독도 등)",1912–2020,일별/월별/연간,국가 기상 관측망 전체,관측 센서,"평균기온, 최고기온, 최저기온, 강수량, 강수일수, 결빙일수, 이산화탄소 배경농도",CSV/Excel,우리나라 기후변화 추세 분석 및 습지 부문 온실가스 배출량 산정을 위한 결빙일수 확보에 사용,open,국가 공식 기상 데이터 소스,1,Low,Optional,도시물순환 수문요소 탄소저감 평가 기술 개발_2024.02.13_도시물순환 수문요소 탄소저감 평가 기술 개발.pdf.pdf
Forest Spatial Information Service,산림공간정보서비스,FGIS,geospatial,산림 및 토지이용,산림청,public_portal,전국 산림지,2015–2021,5년 주기/연간 통계,전국 수종별 면적 데이터,GIS 소프트웨어,"임상도, 수종별 면적, 영급, 수고, 밀도, 임목축적",Shapefile (SHP),도시 녹지의 온실가스 흡수량 산정을 위한 수종별 면적 산출에 활용,open,서울시 비오톱 유형별 탄소 흡수원 분석에 사용됨,1,Low,Optional,도시물순환 수문요소 탄소저감 평가 기술 개발_2024.02.13_도시물순환 수문요소 탄소저감 평가 기술 개발.pdf.pdf
National Greenhouse Gas Inventory Report,국가 온실가스 인벤토리 보고서,GIR Report,literature,온실가스 통계,온실가스종합정보센터 (GIR),public_portal,국가 전체,1990–2019,연간,국가 공식 배출량 통계,IPCC 가이드라인,"에너지, 산업공정, 농업, LULUCF, 폐기물 부문별 총 배출량 및 흡수량",PDF/Excel,국가 온실가스 배출 현황 조사 및 물순환 분야 배출량 비교 분석의 기준 자료로 활용,open,매년 발행되는 국가 공식 통계 자료,1,Low,Optional,도시물순환 수문요소 탄소저감 평가 기술 개발_2024.02.13_도시물순환 수문요소 탄소저감 평가 기술 개발.pdf.pdf
K-water Real-time Hydrometeorological Data (COSFIM/DAON DB),K-water 실시간 수문기상 데이터 (COSFIM/DAON DB),"COSFIM, DAON",DB_system,hydrological,K-water (한국수자원공사),internal_DB,"금강유역 (용담댐, 대청댐 유역)",2001–2023,"hourly, daily","강우관측소 264개, 수위관측소 133개, 유량관측소 132개","COSFIM BLC(블럭) 파일, DAON DB SQL Query","강수량, 수위, 유입량, 방류량(발전방류, 여수로방류, 하천유지유량 등)","CSV, SQL","AI 댐 홍수분석 모델(LSTM, GRU 등) 학습 및 검증용 기상/수문 입력 데이터로 활용",internal_only,무주양수댐 등 일부 시설의 경우 데이터 보유 기간이 9~11년으로 제한적임,1,Low,Optional,AI를 활용한 실시간 댐 홍수분석기술 개발(금강유역)_2025.02.10_AI를 활용한 실시간 댐 홍수분석기술 개발(금강유역).pdf.pdf
Smart Village Innovation Service Sensor Data,스마트빌리지 혁신서비스 디바이스 센싱데이터,STA (SensorThings API),field_measurement,multidisciplinary,K-water (한국수자원공사),internal_DB,Busan Eco Delta City Smart Village (부산 에코델타시티 스마트빌리지),2022–2024,"Real-time, periodic (e.g., 4s, 1min, 5min, 1hr), event-based",Approximately 625 data items across 28 services,"IoT Sensors, OGC SensorThings API, RESTful API","Temperature, humidity, PM10, PM2.5, VOC, noise, illuminance, water flow, water quality (pH, turbidity, etc.), energy consumption, GPS coordinates, robot status",JSON,"Used to establish a digital twin testbed, analyze data requirements, and validate open data linkage and security frameworks.",internal_only,Includes sensitive and personal information; access is controlled via token-based authentication and encryption.,1,Low,Optional,__디지털트윈 테스트베드 구축(alio).pdf.pdf
Water-Friendly Information Platform Data,친수정보플랫폼 데이터,WFIS,hydrological,water_quality,"K-water, KMA (기상청), AirKorea (에어코리아)",public_portal,Busan Smart Village and surrounding rivers,2022–2024,"1-hour, periodic","Multiple stations (River level, water quality)","Water quality sensors, weather sensors","pH, TOC, COD, turbidity, conductivity, DO, rainfall, temperature, PM10",JSON,Provided life activity indices based on water quality and weather data to residents via signage.,open,Classified as public data available for external inquiry via API.,1,Low,Optional,__디지털트윈 테스트베드 구축(alio).pdf.pdf
